Timestamp,year,CVA,NVA,CCT,FRE,SDG,ECA,LAX,NCT,PAC,ELU,NE,NW,SW,MX
7462,2016,3513.01985059163,531.330161209383,5431.22823829602,1540.16714862286,2443,32.8307928641169,7802.55607242097,673.259334931559,136.995266348553,3979.61313471492,0,0,0,0
7463,2016,3254.28145300451,492.197016408658,5031.21134369465,1426.73187156802,2188,30.4466354136377,7235.93795053039,623.672925264267,126.905390059901,3690.61541405598,0,0,0,0
7464,2016,3038.61661184693,459.578574244105,4697.78738791899,1332.1807680757,1984,28.4292714170783,6756.49184739221,582.341428802208,118.49522911207,3446.07888119072,0,0,0,0
7465,2016,2948.60773185968,445.965092183692,4558.6311088556,1292.71935711403,1860,27.2872099810096,6485.06987991315,565.091506725068,114.985203261943,3307.64291010584,0,0,0,0
7466,2016,2874.93709741466,434.822704226654,4444.73422038127,1260.42090853814,1785,26.3368814867626,6259.21510405467,550.972758622326,112.112310816954,3192.44801445857,0,0,0,0
7467,2016,2792.9488106936,422.42230472608,4317.97800578887,1224.47586092949,1750,25.6810992509664,6103.36210083069,535.259958314436,108.91505954753,3112.95679991835,0,0,0,0
7468,2016,2785.81939445699,421.344009117334,4306.9557262591,1221.35020461569,1748,25.6699842978173,6100.72052450486,533.89362785288,108.637037698015,3111.60949119733,0,0,0,0
7469,2016,2869.88709424706,434.058911503793,4436.92677238101,1258.20690198253,1807,26.4091286822317,6276.38535017257,550.004941212057,111.915378673547,3201.2055211452,0,0,0,0
7470,2016,3082.58134530605,466.228063831369,4765.75811168593,1351.45564867744,1946,28.3736966513328,6743.28396576305,590.767133315135,120.20969718408,3439.34233758561,0,0,0,0
7471,2016,3432.21979991,519.1094776436,5306.30907029192,1504.74304373317,2167,30.4799802730849,7243.86267950788,657.774256367261,133.844352054048,3694.65734021904,0,0,0,0
7472,2016,3578.07577375074,541.169608639187,5531.8065390052,1568.68876248624,2239,31.3302741889901,7445.94326843389,685.727100393254,139.532215725378,3797.72645737712,0,0,0,0
7473,2016,3664.22288660982,554.199013911529,5664.99241665664,1606.45710961128,2265,32.2611515152262,7667.17528572217,702.236926803719,142.891646407018,3910.56356276261,0,0,0,0
7474,2016,3679.37289611263,556.490392080113,5688.41476065741,1613.09912927809,2323,33.4365578107422,7946.52198217871,705.140379034524,143.482442837238,4053.04146001055,0,0,0,0
7475,2016,3619.96109414084,547.504595340567,5596.56243124262,1587.05199332979,2418,34.9315190092944,8301.81399800288,693.754291854894,141.165594091279,4234.25448298783,0,0,0,0
